price,home_type,bedrooms,bathrooms,square_feet,built,county,zipcode,high_school
525000,Single Family - Bungalow,3,1.0,2316,1914,Multnomah,97206,Franklin
525000,Single Family - Traditional,3,2.0,1716,1953,Multnomah,97211,Grant
525000,Single Family - 2 Story,4,2.0,2246,1960,Multnomah,97203,Roosevelt
525000,Single Family - Contemporary,4,3.0,2755,2003,Washington,97225,Beaverton
529000,Condo - Contemporary,1,1.0,968,2008,Multnomah,97209,Lincoln
529000,Single Family - Bungalow,3,2.0,2228,1944,Multnomah,97203,Roosevelt
529500,Single Family - Cottage,3,1.0,1549,1947,Multnomah,97219,Wilson
529900,Single Family - 2 Story,3,2.0,2521,1920,Washington,97225,Southridge
530000,Condo - Contemporary,1,1.0,810,2008,Multnomah,97209,Lincoln
530000,Condo - NW Contemporary,1,1.0,959,2009,Multnomah,97217,Grant
530000,Single Family - Traditional,4,3.0,2162,2013,Washington,97229,Sunset
534900,Single Family - Traditional,3,2.0,2830,1941,Multnomah,97219,Wilson
534900,Single Family - Traditional,4,3.0,2040,1993,Multnomah,97219,Wilson
534900,Single Family - 2 Story,3,3.0,1693,2020,Multnomah,97203,Roosevelt
535000,Single Family - Bungalow,3,2.0,2304,1928,Multnomah,97206,Franklin
535000,Single Family - Craftsman,4,3.0,2328,2009,Multnomah,97219,Wilson
536900,Single Family - 2 Story,3,3.0,2200,2014,Multnomah,97203,Roosevelt
539777,Single Family - English,5,2.0,2596,1929,Multnomah,97213,Grant
539900,Condo - Craftsman,2,3.0,2082,2007,Washington,97225,Beaverton
539900,Condo - Farmhouse,4,3.0,2149,2020,Multnomah,97206,Franklin
539900,Single Family - 2 Story,3,3.0,1693,2020,Multnomah,97203,Roosevelt
539900,Single Family - Farmhouse,4,3.0,2149,2020,Multnomah,97206,Franklin
539900,Single Family - Craftsman,3,3.0,1894,2017,Multnomah,97203,Roosevelt
540000,Condo - Contemporary,3,3.0,1788,2020,Multnomah,97217,Roosevelt
540000,Condo - Contemporary,3,3.0,1756,2020,Multnomah,97217,Roosevelt
540000,Single Family - Traditional,4,3.0,3345,2002,Washington,97229,Sunset
545000,Condo - Contemporary,2,2.0,1111,2004,Multnomah,97209,Lincoln
545000,Single Family - 2 Story,6,3.0,2918,1966,Multnomah,97266,David Douglas
545000,Single Family - Traditional,4,3.0,2404,1997,Washington,97229,Westview
545500,Single Family - Traditional,5,4.0,3150,2003,Multnomah,97236,Centennial
549000,Condo - Townhouse,3,4.0,2012,2010,Multnomah,97211,Grant
549000,Condo - Contemporary,2,2.0,1319,1973,Multnomah,97201,Lincoln
549000,Single Family - Ranch,4,3.0,2528,2015,Multnomah,97218,Madison
549000,Single Family - Bungalow,3,2.0,2646,1928,Multnomah,97211,Jefferson
549500,Single Family - Daylight Ranch,5,3.0,2668,1958,Multnomah,97219,Wilson
549900,Condo - Bungalow,3,3.0,2715,1936,Washington,97225,Beaverton
549900,Condo - 2 Story,3,4.0,1650,2020,Multnomah,97203,Roosevelt
549900,Single Family - 2 Story,3,3.0,2524,2004,Washington,97229,Liberty
549900,Single Family - Farmhouse,2,1.0,2618,1891,Multnomah,97215,Franklin
549900,Single Family - Daylight Ranch,3,2.0,3124,1953,Washington,97225,Beaverton
